Process Reference,CAPEX,Currency,Plant size [kg H2O/hour],Reference Year,Country,Scaling factor,Balance of plant costs/Overall installation factor,Comments,Reference,Reference_label,Ignore,doi
Hot air dryer,6600000,USD,667.67,2010,USA,0.65,,,"""Techno-economic and environmental evaluation of biomass dryer, 2013, Haque and Somerville"" (10.1016/j.proeng.2013.03.173)",Haque and Somerville (2013),TRUE,
Rotary drum dryer + aux,17922411.2,USD,8000,2016,USA,,3.8,equipment cost scaled to CAPEX with a factor of 3.8,"""Evaluating industrial drying of cellulosic feedstock for bioenergy: A systems approach, 2016, Sokhansanji and Webb"" (10.1002/bbb.1619)",Sokhansanji and Webb (2016),TRUE,
Rotary drum dryer only,2002204.8,USD,8000,2016,USA,,3.8,equipment cost scaled to CAPEX with a factor of 3.8,"""Evaluating industrial drying of cellulosic feedstock for bioenergy: A systems approach, 2016, Sokhansanji and Webb"" (10.1002/bbb.1619)",Sokhansanji and Webb (2016),,
Dryer,2428800,USD,700,2000,USA,,,,"""Chemical Process Design and Integration, Smith, 2005""",Smith (2005),,
Dryer + gas filter,2644800,USD,5590,2011,USA,,3.8,equipment cost scaled to CAPEX with a factor of 3.8,"""Analysis of the Production Cost for Various Grades of Biomass Thermal Treatment, 2013, Cherry et al.""",Cherry et al. (2013),,
Dryer + gas filter,2743600,USD,5880,2011,USA,,3.8,equipment cost scaled to CAPEX with a factor of 3.8,"""Analysis of the Production Cost for Various Grades of Biomass Thermal Treatment, 2013, Cherry et al.""",Cherry et al. (2013),,
Dryer + gas blower + gas filter,3344000,USD,7240,2011,USA,,3.8,equipment cost scaled to CAPEX with a factor of 3.8,"""Analysis of the Production Cost for Various Grades of Biomass Thermal Treatment, 2013, Cherry et al.""",Cherry et al. (2013),,
Dryer + gas blower + gas filter,12950400,USD,25000,2011,USA,,3.8,equipment cost scaled to CAPEX with a factor of 3.8,"""Analysis of the Production Cost for Various Grades of Biomass Thermal Treatment, 2013, Cherry et al.""",Cherry et al. (2013),,
Dryer + gas blower + gas filter,13360800,USD,27900,2011,USA,,3.8,equipment cost scaled to CAPEX with a factor of 3.8,"""Analysis of the Production Cost for Various Grades of Biomass Thermal Treatment, 2013, Cherry et al.""",Cherry et al. (2013),,
Dryer + gas blower + gas filter,13915600,USD,29400,2011,USA,,3.8,equipment cost scaled to CAPEX with a factor of 3.8,"""Analysis of the Production Cost for Various Grades of Biomass Thermal Treatment, 2013, Cherry et al.""",Cherry et al. (2013),,
Drum dryer,2116200,USD,4000,2004,USA,,,Annual Value of 2.46 * 75000 = 184500 USD converted to present value with N=20 and i = 0.06,"Cost benefit of biomass supply and pre-processing: Synthesis report, 2006, Sokhansanj ",Sokhansanj (2006),,
