Process Reference,CAPEX,Currency,Plant size [tonnes/hour],Plant size [tonnes/year],Reference Year,Country,Comments,Reference,Reference Label,doi
Pellet mill,86066,USD,1.03,7394,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,130055,USD,3.35,24085,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,130055,USD,4.17,30000,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,164481,USD,4.17,30000,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,225683,USD,3.32,23873,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,262022,USD,3.35,24085,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,242896,USD,4.17,30000,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,244809,USD,6.1,43944,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,239071,USD,6.66,47958,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,346175,USD,6.43,46268,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,319399,USD,8.39,60423,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,443716,USD,11.65,83873,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,457104,USD,11.68,84085,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,470492,USD,8.39,60423,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,634973,USD,14,100775,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,533607,USD,14,100775,2008,USA,Estimated annual operating hours = 7200. Data extracted from figure 3 a).,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",a,10.1016/j.biortech.2010.02.011
Pellet mill,64350,USD,6,45000,2004,USA,Capital cost only.  Note: operating cost (without energy costs) ~same size as capital cost,"Sokhansanj and Fenton, 2006, ""Cost benefit of biomass supply and pre-processing""",b,
Pellet mill,646996.4,EUR,8,45440,2010,Ireland,"Original CAPEX includes both Pellet mill and cooler. Estimated a 82/18 split for pellet mill and cooler CAPEX, based on data from: Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size"".","Nolan et al., 2010, ""Economic Analysis of Manufacturing Costs of Pellet Production in the Republic of Ireland Using Non-Woody Biomass""",c,10.2174/1876387101003010001
Pellet mill,475000,USD,6,45000,2004,USA,System life time of 10 years,"Mani et al., 2006, ""Economics of producing fuel pellets from biomass""",d,10.13031/2013.20447
